lot,pad_FP,has_wall,TW,BW,wall_exposed,rear_grade,pad_to_rear_drop,drive_slope_est_pct,slope_flag
K-20,698.5,False,,,,697.8,0.7,3.5,ok
K-21,698.6,False,,,,696.9,1.7,8.5,ok
L-2,704.0,True,,697.7,,703.4,0.6,3.0,ok
L-9,715.3,True,719.5,714.2,5.3,,,,
L-10,717.7,True,717.2,717.0,0.2,,,,
L-11,721.4,True,720.6,719.0,1.6,,,,
L-12,720.0,False,,,,720.5,-0.5,2.5,ok
L-15,717.8,True,716.9,716.3,0.6,716.2,1.6,8.0,ok
L-16,715.8,True,715.0,713.0,2.0,,,,
L-17,713.7,True,,713.0,,,,,
M-22,698.2,False,,,,697.5,0.7,3.5,ok
M-23,697.8,False,,,,,,,
N-1,703.1,False,,,,702.8,0.3,1.5,ok
N-2,703.6,False,,,,703.0,0.6,3.0,ok
N-3,704.0,False,,,,703.5,0.5,2.5,ok
N-4,704.6,False,,,,703.0,1.6,8.0,ok
N-5,709.6,False,,,,705.1,4.5,22.5,over
N-6,711.8,True,714.5,,,710.7,1.1,5.5,ok
N-7,714.8,True,714.6,712.5,2.1,,,,
N-8,716.9,True,716.1,716.2,,,,,
N-12,725.4,True,726.7,724.7,2.0,723.4,2.0,10.0,ok
N-13,727.5,True,728.7,726.8,1.9,,,,
N-14,729.5,True,730.3,726.8,3.5,730.3,-0.8,4.0,ok
N-15,731.1,True,730.3,728.8,1.5,730.4,0.7,3.5,ok
N-20,726.8,True,726.4,720.9,5.5,,,,
N-21,724.8,True,724.4,720.9,3.5,723.5,1.3,6.5,ok
N-22,722.7,True,722.3,718.8,3.5,,,,
N-23,720.7,True,720.3,712.4,7.9,,,,
N-27,710.3,False,,,,,,,
N-28,708.2,False,,,,,,,
P-1,725.7,True,724.9,,,724.5,1.2,6.0,ok
P-2,723.2,True,724.9,721.6,3.3,722.2,1.0,5.0,ok
P-6,714.3,True,716.1,712.0,4.1,,,,
P-7,711.9,True,711.1,709.5,1.6,710.1,1.8,9.0,ok
P-8,710.2,False,,,,707.2,3.0,15.0,over
P-12,710.1,False,,,,707.9,2.2,11.0,over
P-13,711.1,False,,,,710.6,0.5,2.5,ok
P-16,716.4,True,715.6,715.7,,,,,
P-17,718.8,True,718.0,718.1,,,,,
P-18,721.1,True,720.3,720.4,,,,,
P-22,727.1,False,,,,726.5,0.6,3.0,ok
P-24,727.7,True,731.6,727.1,4.5,726.3,1.4,7.0,ok
S-8,746.9,False,,,,746.7,0.2,1.0,ok
S-9,747.6,False,,,,747.1,0.5,2.5,ok
U-8,700.2,False,,,,698.8,1.4,7.0,ok
U-9,700.2,False,,,,696.0,4.2,21.0,over
X-1,704.5,False,,,,697.7,6.8,34.0,over
Y-2,698.1,True,,697.5,,704.1,-6.0,30.0,over
