Block,Lot,Type,Acres,PlatAreaSF
A,1,Residential,0.272,11854
A,2,Residential,0.201,8745
A,3,Residential,0.201,8750
A,4,Residential,0.201,8750
A,5,Residential,0.209,9116
A,6,OpenSpace,0.224,9776
A,7,OpenSpace,0.224,9776
A,8,OpenSpace,0.224,9776
A,9,OpenSpace,0.224,9776
A,10,OpenSpace,0.214,9308
A,11,OpenSpace,5.606,244204
A,12,OpenSpace,0.195,8480
A,13,OpenSpace,0.236,10269
A,14,OpenSpace,0.203,8861
A,15,OpenSpace,0.208,9068
A,16,OpenSpace,0.209,9094
A,17,OpenSpace,0.213,9277
A,18,OpenSpace,0.216,9418
A,19,OpenSpace,0.216,9418
A,20,Residential,0.242,10546
B,1,Residential,0.3,13072
B,2,Residential,0.214,9336
B,3,Residential,0.177,7720
B,4,Residential,0.158,6904
B,5,Residential,0.142,6193
B,6,Residential,0.138,6000
B,7,Residential,0.138,6000
B,8,Residential,0.138,6000
B,9,Residential,0.138,6000
B,10,Residential,0.138,6000
B,11,Residential,0.138,6000
B,12,Residential,0.138,6000
B,13,Residential,0.138,6000
B,14,Residential,0.138,6000
B,15,Residential,0.152,6600
B,16,OpenSpace,2.079,90571
B,17,Residential,0.155,6773
B,18,Residential,0.143,6250
B,19,Residential,0.143,6250
B,20,Residential,0.172,7500
B,21,Residential,0.172,7500
B,22,Residential,0.215,9345
B,23,Residential,0.244,10641
B,24,Residential,0.172,7482
B,25,Residential,0.181,7901
B,26,Residential,0.181,7892
B,27,Residential,0.152,6613
B,28,Residential,0.151,6569
B,29,Residential,0.206,8960
B,30,Residential,0.254,11052
B,31,Residential,0.186,8091
B,32,Residential,0.186,8092
B,33,Residential,0.208,9079
C,1,Residential,0.296,12900
C,2,Residential,0.156,6788
C,3,Residential,0.14,6105
C,4,Residential,0.14,6105
C,5,Residential,0.14,6105
C,6,Residential,0.14,6105
C,7,Residential,0.14,6105
C,8,Residential,0.14,6105
C,9,Residential,0.14,6105
C,10,Residential,0.154,6715
C,11,Residential,0.178,7750
C,12,Residential,0.138,6000
C,13,Residential,0.138,6000
C,14,Residential,0.165,7200
C,15,Residential,0.237,10343
C,16,Residential,0.319,13877
C,17,Residential,0.29,12633
C,18,Residential,0.375,16342
C,19,Residential,0.303,13200
C,20,Residential,0.207,9032
C,21,Residential,0.359,15635
D,1,Residential,0.225,9799
D,2,Residential,0.225,9797
D,3,Residential,0.225,9796
D,4,Residential,0.225,9794
D,5,Residential,0.225,9793
D,6,Residential,0.225,9790
D,7,Residential,0.22,9592
D,8,OpenSpace,1.76,76646
E,1,Residential,0.329,14350
E,2,Residential,0.193,8400
E,3,Residential,0.193,8400
E,4,Residential,0.193,8400
E,5,Residential,0.207,9000
E,6,Residential,0.24,10450
E,7,Residential,0.193,8400
E,8,Residential,0.24,10450
E,9,Residential,0.25,10877
E,10,Residential,0.284,12385
E,11,Residential,0.417,18147
E,12,Residential,0.199,8684
E,13,Residential,0.201,8750
E,14,Residential,0.228,9950
E,15,Residential,0.192,8350
E,16,Residential,0.165,7200
E,17,Residential,0.165,7200
E,18,Residential,0.165,7200
E,19,Residential,0.165,7200
E,20,Residential,0.224,9771
F,1,Residential,0.233,10161
F,2,Residential,0.202,8778
F,3,Residential,0.202,8778
F,4,Residential,0.202,8778
F,5,Residential,0.202,8778
F,6,Residential,0.202,8778
F,7,Residential,0.223,9729
F,8,Residential,0.193,8405
F,9,Residential,0.166,7247
F,10,Residential,0.166,7247
F,11,Residential,0.166,7247
F,12,Residential,0.166,7247
F,13,Residential,0.166,7247
F,14,Residential,0.166,7247
F,15,Residential,0.225,9785
G,1,OpenSpace,0.454,19759
H,1,Residential,0.217,9459
H,2,Residential,0.165,7200
H,3,Residential,0.165,7200
H,4,Residential,0.165,7200
H,5,Residential,0.165,7200
H,6,Residential,0.193,8400
H,7,Residential,0.193,8400
H,8,Residential,0.193,8400
H,9,Residential,0.193,8400
H,10,Residential,0.235,10232
H,11,Residential,0.165,7202
H,12,Residential,0.138,6000
H,13,Residential,0.138,6000
H,14,Residential,0.138,6000
H,15,Residential,0.138,6000
H,16,Residential,0.138,6000
H,17,Residential,0.138,6000
H,18,Residential,0.138,6000
H,19,Residential,0.138,6000
H,20,Residential,0.138,6000
H,21,Residential,0.138,6000
H,22,Residential,0.138,6000
H,23,Residential,0.175,7629
I,1,Residential,0.195,8485
I,2,Residential,0.165,7200
I,3,Residential,0.165,7200
I,4,Residential,0.165,7200
I,5,Residential,0.138,6000
I,6,Residential,0.138,6000
I,7,Residential,0.138,6000
I,8,Residential,0.138,6000
I,9,Residential,0.138,6000
I,10,Residential,0.138,6000
I,11,Residential,0.138,6000
I,12,Residential,0.164,7150
I,13,Residential,0.164,7150
I,14,Residential,0.138,6000
I,15,Residential,0.138,6000
I,16,Residential,0.138,6000
I,17,Residential,0.138,6000
I,18,Residential,0.138,6000
I,19,Residential,0.138,6000
