Block,Lot,LotProduct,PlatAreaSF,PadElev_FP__FILL_IN,GutterElev__CLAUDE,GaragePlan,GarageStepDown,DrivewayRun_ft,DrivewaySide_drawn,DrivewaySide_required,Notes
A,1,70,11854,591.3,,,0.58,,left,,
A,2,70,8745,590.5,,,0.58,,left,,
A,3,70,8750,589.7,,,0.58,,right,,
A,4,70,8750,589.2,,,0.58,,right,,
A,5,70,9116,588.8,,,0.58,,right,right,
A,20,70,10546,594.8,,,0.58,,left,left,
B,1,50,13072,593.8,,,0.58,,right,right,
B,2,50,9336,594.0,,,0.58,,right,right,
B,3,50,7720,594.3,,,0.58,,right,,
B,4,50,6904,594.6,,,0.58,,right,,
B,5,50,6193,594.8,,,0.58,,right,,
B,6,50,6000,595.1,,,0.58,,right,,
B,7,50,6000,595.4,,,0.58,,right,,
B,8,50,6000,595.7,,,0.58,,right,,
B,9,50,6000,595.9,,,0.58,,left,left,
B,10,50,6000,596.3,,,0.58,,left,,
B,11,50,6000,596.6,,,0.58,,left,,
B,12,50,6000,596.9,,,0.58,,right,,
B,13,50,6000,597.2,,,0.58,,left,,
B,14,60,6000,597.5,,,0.58,,left,,
B,15,60,6600,597.8,,,0.58,,left,left,
B,17,50,6773,597.8,,,0.58,,left,,
B,18,50,6250,597.2,,,0.58,,left,,
B,19,50,6250,596.8,,,0.58,,right,,
B,20,60,7500,596.5,,,0.58,,left,,
B,21,60,7500,596.1,,,0.58,,,,
B,22,60,9345,595.8,,,0.58,,right,,
B,23,60,10641,595.7,,,0.58,,right,,
B,24,60,7482,595.3,,,0.58,,right,,
B,25,60,7901,594.5,,,0.58,,left,left,
B,26,60,7892,593.7,,,0.58,,left,,
B,27,50,6613,592.8,,,0.58,,left,,
B,28,50,6569,592.1,,,0.58,,left,,
B,29,50,8960,591.0,,,0.58,,left,left,
B,30,60,11052,591.5,,,0.58,,left,left,
B,31,60,8091,591.8,,,0.58,,right,,
B,32,60,8092,592.1,,,0.58,,right,,
B,33,60,9079,592.1,,,0.58,,left,,
C,1,50,12900,594.3,,,0.58,,left,,
C,2,50,6788,594.7,,,0.58,,right,,
C,3,50,6105,595.0,,,0.58,,left,,
C,4,50,6105,595.3,,,0.58,,left,,
C,5,50,6105,595.6,,,0.58,,left,,
C,6,50,6105,595.9,,,0.58,,right,right,
C,7,50,6105,596.2,,,0.58,,left,,
C,8,50,6105,596.5,,,0.58,,right,,
C,9,50,6105,596.8,,,0.58,,right,,
C,10,50,6715,597.1,,,0.58,,left,,
C,11,50,7750,597.2,,,0.58,,left,left,
C,12,50,6000,596.9,,,0.58,,left,,
C,13,50,6000,596.6,,,0.58,,left,,
C,14,50,7200,596.3,,,0.58,,left,,
C,15,50,10343,596.9,,,0.58,,left,,
C,16,70,13877,593.3,,,0.58,,right,right,plat numbering; grading plan shows this as lot 17
C,17,60,12633,593.7,,,0.58,,left,,plat numbering; grading plan shows this as lot 18
C,18,60,16342,594.1,,,0.58,,right,,plat numbering; grading plan shows this as lot 19
C,19,60,13200,594.6,,,0.58,,right,,plat numbering; grading plan shows this as lot 20
C,20,60,9032,594.0,,,0.58,,left,,plat numbering; grading plan shows this as lot 21
C,21,60,15635,593.5,,,0.58,,right,right,plat numbering; grading plan shows this as lot 22
D,1,70,9799,592.6,,,0.58,,left,left,
D,2,70,9797,593.7,,,0.58,,right,,
