Block,Lot,LotProduct,PLAT_AreaSF,Acres,CSV_AreaSF,AreaError_SF,Status,CSV_FP_SUSPECT
A,1,70,11854,0.272,8400,-3454,MISMATCH,591.5
A,2,70,8745,0.201,9000,255,MISMATCH,597.6
A,3,70,8750,0.201,8400,-350,MISMATCH,596.9
A,4,70,8750,0.201,8400,-350,MISMATCH,596.2
A,5,70,9116,0.209,8400,-716,MISMATCH,595.7
A,20,70,10546,0.242,6256,-4290,MISMATCH,593.8
B,1,50,13072,0.3,9771,-3301,MISMATCH,593.5
B,2,50,9336,0.214,7200,-2136,MISMATCH,593.1
B,3,50,7720,0.177,7200,-520,MISMATCH,592.8
B,4,50,6904,0.158,7200,296,MISMATCH,592.4
B,5,50,6193,0.142,7247,1054,MISMATCH,592.4
B,6,50,6000,0.138,8350,2350,MISMATCH,591.7
B,7,50,6000,0.138,9950,3950,MISMATCH,598.3
B,8,50,6000,0.138,8750,2750,MISMATCH,598.7
B,9,50,6000,0.138,8684,2684,MISMATCH,599.3
B,10,50,6000,0.138,18147,12147,MISMATCH,599.6
B,11,50,6000,0.138,12385,6385,MISMATCH,600.1
B,12,50,6000,0.138,10877,4877,MISMATCH,600.1
B,13,50,6000,0.138,10450,4450,MISMATCH,600.8
B,14,60,6000,0.138,9169,3169,MISMATCH,581.8
B,15,60,6600,0.152,8778,2178,MISMATCH,586.2
B,17,50,6773,0.155,6000,-773,MISMATCH,594.2
B,18,50,6250,0.143,8400,2150,MISMATCH,598.4
B,19,50,6250,0.143,8400,2150,MISMATCH,597.1
B,20,60,7500,0.172,9010,1510,MISMATCH,589.5
B,21,60,7500,0.172,14451,6951,MISMATCH,588.6
B,22,60,9345,0.215,11598,2253,MISMATCH,587.2
B,23,60,10641,0.244,6000,-4641,MISMATCH,585.8
B,24,60,7482,0.172,7200,-282,MISMATCH,589.0
B,25,60,7901,0.181,6520,-1381,MISMATCH,593.2
B,26,60,7892,0.181,14619,6727,MISMATCH,593.5
B,27,50,6613,0.152,9100,2487,MISMATCH,585.5
B,28,50,6569,0.151,9100,2531,MISMATCH,586.4
B,29,50,8960,0.206,9100,140,MISMATCH,585.9
B,30,60,11052,0.254,7150,-3902,MISMATCH,596.1
B,31,60,8091,0.186,7150,-941,MISMATCH,593.3
B,32,60,8092,0.186,6000,-2092,MISMATCH,593.6
B,33,60,9079,0.208,6000,-3079,MISMATCH,593.9
C,1,50,12900,0.296,7247,-5653,MISMATCH,593.6
C,2,50,6788,0.156,7247,459,MISMATCH,593.5
C,3,50,6105,0.14,7247,1142,MISMATCH,593.2
C,4,50,6105,0.14,7247,1142,MISMATCH,592.8
C,5,50,6105,0.14,7200,1095,MISMATCH,592.1
C,6,50,6105,0.14,7247,1142,MISMATCH,592.1
C,7,50,6105,0.14,8405,2300,MISMATCH,591.7
C,8,50,6105,0.14,9729,3624,MISMATCH,585.0
C,9,50,6105,0.14,8778,2673,MISMATCH,585.3
C,10,50,6715,0.154,8778,2063,MISMATCH,592.6
C,11,50,7750,0.178,10161,2411,MISMATCH,587.4
C,12,50,6000,0.138,8778,2778,MISMATCH,587.0
C,13,50,6000,0.138,8778,2778,MISMATCH,586.6
C,14,50,7200,0.165,8400,1200,MISMATCH,600.4
C,15,50,10343,0.237,10450,107,MISMATCH,600.0
C,16,70,13877,0.319,6000,-7877,MISMATCH,594.2
C,17,60,12633,0.29,6000,-6633,MISMATCH,594.2
C,18,60,16342,0.375,7200,-9142,MISMATCH,590.3
