Block,Lot,Type,Acres,PlatAreaSF,Note
A,1,OpenSpace,5.261,229170,
A,2,Residential,0.22,9600,
A,3,Residential,0.247,10750,
A,4,Residential,0.202,8779,
A,5,Residential,0.203,8836,
A,6,Residential,0.204,8891,
A,7,Residential,0.312,13581,
A,8,Residential,0.315,13709,
A,9,Residential,0.21,9167,
A,10,Residential,0.172,7500,
A,11,Residential,0.172,7500,
A,12,Residential,0.172,7500,
A,13,Residential,0.171,7463,
A,14,Residential,0.17,7389,
A,15,Residential,0.168,7315,
A,16,Residential,0.166,7241,
A,17,Residential,0.165,7166,
A,18,Residential,0.164,7133,
A,19,Residential,0.164,7140,
A,20,Residential,0.164,7148,
A,21,Residential,0.38,16537,
A,22,Residential,0.263,11477,
A,23,Residential,0.165,7207,
A,24,Residential,0.165,7200,
A,25,OpenSpace,0.193,8400,
A,26,Residential,0.165,7200,
A,27,Residential,0.165,7200,
A,28,Residential,0.165,7200,
A,29,Residential,0.165,7200,
A,30,Residential,0.165,7200,
A,31,Residential,0.165,7200,
A,32,Residential,0.165,7200,
A,33,Residential,0.165,7200,
A,34,Residential,0.165,7200,
A,35,Residential,0.192,8350,
A,36,Residential,0.164,7150,
A,37,Residential,0.138,6000,
A,38,Residential,0.138,6000,
A,39,Residential,0.138,6000,
A,40,Residential,0.138,6000,
A,41,Residential,0.138,6000,
A,42,Residential,0.138,6000,
A,43,Residential,0.138,6000,
A,44,Residential,0.138,6000,
A,45,Residential,0.138,6000,
A,46,Residential,0.138,6000,
A,47,Residential,0.138,6000,
A,48,Residential,0.138,6000,
A,49,Residential,0.138,6000,
A,50,Residential,0.166,7235,
A,51,Residential,0.333,14494,
A,52,Residential,0.234,10213,
A,53,Residential,0.138,6000,
A,54,Residential,0.138,6000,
A,55,Residential,0.138,6000,
A,56,Residential,0.138,6000,
A,57,Residential,0.138,6000,
A,58,Residential,0.138,6000,
A,59,Residential,0.138,6000,
A,60,Residential,0.167,7273,
A,61,OpenSpace,1.866,81297,"not in dedication; 81,297 sf - reclassified, VERIFY"
B,1,OpenSpace,1.241,54048,
B,2,Residential,0.167,7273,
B,3,Residential,0.138,6000,
B,4,Residential,0.138,6000,
B,5,Residential,0.138,6000,
B,6,Residential,0.138,6003,
B,7,Residential,0.195,8488,
B,8,Residential,0.335,14602,
B,9,Residential,0.192,8371,
B,10,Residential,0.145,6323,
B,11,Residential,0.145,6306,
B,12,Residential,0.144,6290,
B,13,Residential,0.15,6552,
B,14,Residential,0.196,8543,
B,15,Residential,0.335,14605,
B,16,Residential,0.185,8066,
B,17,Residential,0.138,6000,
B,18,Residential,0.138,6000,
B,19,Residential,0.138,6000,
B,20,Residential,0.138,6000,
B,21,Residential,0.138,6000,
B,22,Residential,0.138,6000,
B,23,Residential,0.138,6000,
B,24,Residential,0.138,6000,
B,25,Residential,0.138,6000,
B,26,Residential,0.138,6000,
B,27,Residential,0.138,6000,
B,28,Residential,0.138,6000,
B,29,Residential,0.138,6000,
B,30,Residential,0.187,8135,
C,1,Residential,0.164,7150,
C,2,Residential,0.138,6000,
C,3,Residential,0.138,6000,
C,4,Residential,0.138,6000,
C,5,Residential,0.138,6000,
C,6,Residential,0.138,6000,
C,7,Residential,0.138,6000,
C,8,Residential,0.138,6000,
C,9,Residential,0.138,6000,
C,10,Residential,0.138,6000,
C,11,Residential,0.138,6000,
C,12,Residential,0.138,6000,
C,13,Residential,0.165,7200,
C,14,Residential,0.201,8748,
C,15,Residential,0.199,8651,
C,16,Residential,0.165,7200,
C,17,Residential,0.138,6000,
C,18,Residential,0.138,6000,
C,19,Residential,0.138,6000,
C,20,Residential,0.138,6000,
C,21,Residential,0.138,6000,
C,22,Residential,0.138,6000,
C,23,Residential,0.138,6000,
C,24,Residential,0.138,6000,
C,25,Residential,0.138,6000,
C,26,Residential,0.138,6000,
C,27,Residential,0.138,6000,
C,28,Residential,0.164,7151,
D,1,Residential,0.193,8400,
D,2,Residential,0.193,8400,
D,3,Residential,0.193,8400,
D,4,Residential,0.193,8400,
D,5,Residential,0.193,8400,
D,6,Residential,0.193,8400,
