Block,Lot,PlatAreaSF,PolyAreaSF,LotProduct_ft,LotWidth_ft,LotDepth_ft,PadElev_FP,FrontSpotElev,SpotToROW_ft,GarageApron,DrivewayDrop_ft,Slope_at21ft_pct,RunNeeded_at10pct_ft,SetbackShift_ft,DropGarage_if_noShift_ft,RestrictedDriveway,RequiredDrivewaySide,Dakota_JSwing_Fit,PlansWithEnoughSlack,Confidence,Notes
A,2,9600,9599,70,80.0,120.0,587.6,587.0,0.0,587.85,0.85,4.0,14.3,0.0,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),all,OK,
A,3,10750,10750,70,90.0,120.0,586.5,582.7,0.0,586.75,4.05,19.3,46.3,25.3,1.95,YES,LEFT,OK - as drawn (garage left),none,CHECK,drop outside observed 0.9-2.9 ft range
A,4,8779,8778,70,70.0,125.8,584.2,583.6,0.0,584.45,0.85,4.0,14.3,0.0,,,,OK - either hand,all,OK,
A,5,8836,8836,70,70.0,126.6,584.6,584.0,0.0,584.85,0.85,4.0,14.3,0.0,,,,OK - either hand,all,OK,
A,6,8891,8890,70,70.0,127.5,585.1,584.0,0.0,585.35,1.35,6.4,19.3,0.0,,,,OK - either hand,all,OK,
A,7,13581,13897,70,129.3,162.8,585.5,584.5,1.8,585.75,1.25,6.0,18.3,0.0,,,,OK - either hand,all,OK,
A,8,13709,14043,70,132.0,161.6,586.7,584.9,1.1,586.95,2.05,9.8,26.3,5.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,9,9167,9166,70,70.0,136.9,586.9,585.4,0.0,587.15,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
A,10,7500,7499,60,60.0,125.0,587.3,585.4,0.0,587.55,2.15,10.2,27.3,6.3,0.05,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,11,7500,7499,60,60.0,125.0,587.8,585.8,2.8,588.05,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,12,7500,7500,60,60.0,125.0,588.2,586.2,2.8,588.45,2.25,10.7,28.3,7.3,0.15,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
A,13,7463,7462,60,60.0,125.0,588.6,586.6,2.8,588.85,2.25,10.7,28.3,7.3,0.15,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
A,14,7389,7388,60,60.0,123.8,589.1,587.1,2.8,589.35,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,15,7315,7314,60,60.0,122.5,589.5,587.5,2.8,589.75,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,16,7241,7240,60,60.0,121.3,589.9,587.9,2.8,590.15,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,17,7166,7166,60,60.0,120.1,590.4,588.4,2.8,590.65,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,18,7133,7133,60,60.3,118.8,590.8,588.8,2.8,591.05,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,19,7140,7139,60,61.0,117.6,591.2,589.7,2.8,591.45,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
A,20,7148,7148,60,61.8,116.9,591.9,589.7,2.8,592.15,2.45,11.7,30.3,9.3,0.35,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
A,21,16537,16664,60,138.3,162.7,592.2,590.2,7.8,592.45,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,22,11477,11600,60,127.8,132.7,592.5,590.7,0.3,592.75,2.05,9.8,26.3,5.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,23,7207,7211,60,60.0,121.0,592.6,591.0,0.0,592.85,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,24,7200,7200,60,60.0,120.0,593.0,591.4,0.0,593.25,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,26,7200,7200,60,60.0,120.0,593.5,592.0,0.0,593.75,1.75,8.3,23.3,2.3,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
A,27,7200,7200,60,60.0,120.0,593.9,592.0,0.0,594.15,2.15,10.2,27.3,6.3,0.05,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,28,7200,7200,60,60.0,120.0,594.3,592.3,0.0,594.55,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,29,7200,7200,60,60.0,120.0,594.6,593.1,0.0,594.85,1.75,8.3,23.3,2.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
A,30,7200,7199,60,60.0,120.0,595.0,593.4,0.0,595.25,1.85,8.8,24.3,3.3,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
A,31,7200,7199,60,60.0,120.0,595.4,593.4,0.0,595.65,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,32,7200,7199,60,60.0,120.0,595.7,594.2,0.0,595.95,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
A,33,7200,7199,60,60.0,120.0,596.1,594.5,0.0,596.35,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,34,7200,7199,60,60.0,120.0,596.5,594.5,0.0,596.75,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,35,8350,8350,60,70.0,120.0,596.9,594.9,0.0,597.15,2.25,10.7,28.3,7.3,0.15,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
A,36,7150,7149,50,60.0,120.0,598.4,596.9,0.0,598.65,1.75,8.3,23.3,2.3,,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
A,37,6000,6000,50,50.0,120.0,598.4,596.6,0.0,598.65,2.05,9.8,26.3,5.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,38,6000,5999,50,50.0,120.0,598.1,596.3,0.0,598.35,2.05,9.8,26.3,5.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,39,6000,5999,50,50.0,120.0,597.8,596.0,0.0,598.05,2.05,9.8,26.3,5.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,40,6000,5999,50,50.0,120.0,597.5,595.7,0.0,597.75,2.05,9.8,26.3,5.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,41,6000,5999,50,50.0,120.0,597.2,595.4,0.0,597.45,2.05,9.8,26.3,5.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,42,6000,5999,50,50.0,120.0,596.9,595.1,0.0,597.15,2.05,9.8,26.3,5.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,43,6000,5999,50,50.0,120.0,596.6,594.8,0.0,596.85,2.05,9.8,26.3,5.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
A,44,6000,5999,50,50.0,120.0,596.3,594.4,0.0,596.55,2.15,10.2,27.3,6.3,0.05,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
A,45,6000,5999,50,50.0,120.0,596.0,594.1,0.0,596.25,2.15,10.2,27.3,6.3,0.05,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,46,6000,5999,50,50.0,120.0,595.6,593.8,0.0,595.85,2.05,9.8,26.3,5.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,47,6000,5999,50,50.0,120.0,595.3,593.5,0.0,595.55,2.05,9.8,26.3,5.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
A,48,6000,5999,50,50.0,120.0,595.2,593.3,0.0,595.45,2.15,10.2,27.3,6.3,0.05,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
A,49,6000,5999,50,50.0,120.0,595.4,593.9,0.0,595.65,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
A,50,7235,7306,50,77.0,120.0,596.0,593.9,0.0,596.25,2.35,11.2,29.3,8.3,0.25,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,51,14494,14578,50,138.2,160.1,596.3,594.3,16.9,596.55,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",CHECK,chosen spot 17 ft from ROW - may not be the front spot
A,52,10213,10248,50,122.7,129.9,596.3,594.3,2.8,596.55,2.25,10.7,28.3,7.3,0.15,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,53,6000,5999,50,50.0,120.0,596.3,594.7,2.8,596.55,1.85,8.8,24.3,3.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,54,6000,5999,50,50.0,120.0,596.6,594.7,2.8,596.85,2.15,10.2,27.3,6.3,0.05,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,55,6000,5999,50,50.0,120.0,597.0,595.5,2.8,597.25,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
A,56,6000,5999,50,50.0,120.0,597.4,595.5,2.8,597.65,2.15,10.2,27.3,6.3,0.05,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
A,57,6000,5999,50,50.0,120.0,597.7,595.8,2.8,597.95,2.15,10.2,27.3,6.3,0.05,YES,RIGHT,OK - MIRROR REQUIRED (garage right),"Ross A, Ross B/C, Cooper, Renner A",OK,
A,58,6000,5999,50,50.0,120.0,598.1,596.6,0.0,598.35,1.75,8.3,23.3,2.3,,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A, Renner B/C",OK,
A,59,6000,5999,50,50.0,120.0,598.5,596.6,0.0,598.75,2.15,10.2,27.3,6.3,0.05,,,OK - either hand,"Ross A, Ross B/C, Cooper, Renner A",OK,
A,60,7273,7273,50,62.6,120.0,599.2,597.6,2.4,599.45,1.85,8.8,24.3,3.3,,YES,LEFT,OK - as drawn (garage left),"Ross A, Ross B/C, Cooper, Renner A",OK,
